[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:0, Z:-23]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:1, Z:-24]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:2, Z:-25]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:3, Z:-26]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:4, Z:-27]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:5, Z:-28]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:6, Z:-29]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:7, Z:-30]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:8, Z:-30]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:9, Z:-30]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-30, Y:10, Z:-30]
[22:27:02.889] [T1] [DS=False] DEBUG | Path to target:
[22:27:02.889] [T1] [DS=False] DEBUG |  -> [X:2, Y:-1, Z:30]
[22:27:02.889] [T1] [DS=False] DEBUG |  -> [X:3, Y:0, Z:30]
[22:27:02.889] [T1] [DS=False] DEBUG |  -> [X:3, Y:1, Z:29]
[22:27:02.889] [T1] [DS=False] DEBUG |  -> [X:3, Y:2, Z:28]
[22:27:02.889] [T1] [DS=False] DEBUG |  -> [X:3, Y:3, Z:28]
[22:27:02.889] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:28]
[22:27:04.355] [T1] [DS=False] DEBUG | Path to target:
[22:27:04.355] [T1] [DS=False] DEBUG |  -> [X:2, Y:2, Z:-6]
[22:27:04.355] [T1] [DS=False] DEBUG |  -> [X:1, Y:2, Z:-7]
[22:27:04.355] [T1] [DS=False] DEBUG |  -> [X:0, Y:3, Z:-7]
[22:27:04.355] [T1] [DS=False] DEBUG |  -> [X:-1, Y:4, Z:-7]
[22:27:04.355] [T1] [DS=False] DEBUG |  -> [X:-2, Y:5, Z:-7]
[22:27:04.355] [T1] [DS=False] DEBUG |  -> [X:-3, Y:6, Z:-7]
[22:27:04.355] [T1] [DS=False] DEBUG |  -> [X:-4, Y:7, Z:-7]
[22:27:04.355] [T1] [DS=False] DEBUG |  -> [X:-5, Y:8, Z:-7]
[22:27:04.355] [T1] [DS=False] DEBUG |  -> [X:-6, Y:9, Z:-7]
[22:27:04.590] [T1] [DS=False] DEBUG | Path to target:
[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:2, Y:-1, Z:27]
[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:3, Y:-1, Z:26]
[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:3, Y:0, Z:25]
